GSTIN,Vendor Name,Invoice Number,Invoice Date,Taxable Value,CGST,SGST,IGST,Total Tax
27AABCT1332L1ZV,TechParts India Pvt Ltd,INV-2026-1042,2026-03-05,100000,9000,9000,0,18000
29AADCS1234A1Z5,Bengaluru Steel Traders,BST/26/0881,2026-03-09,250000,0,0,45000,45000
07AAACP0505B1ZQ,Delhi Pack Solutions,DPS-4491,2026-03-10,50000,4500,4500,0,9000
24AABCM9876C1ZX,Gujarat Polymers Co,GP-2026-221,2026-03-12,175000,0,0,28000,28000
27AABCT1332L1ZV,TechParts India Pvt Ltd,INV-2026-1055,2026-03-15,80000,7200,7200,0,14400
09AABCT5521D1ZM,Noida Electronics Hub,NEH-3390,2026-03-20,95000,8550,8550,0,17100
19AADCF2211B1ZR,Kolkata Fasteners,KF/8834,2026-03-25,40000,3600,3600,0,7200
06AABCH7788E1ZT,Haryana Chemicals Ltd,HC-556,2026-03-02,110000,9900,9900,0,19800
36AABCT6677G1ZV,Hyderabad Spares Mart,HSM-1200,2026-03-16,85000,0,0,15300,15300
27AABCW3344F1ZU,Pune Wire Mesh Works,PWM-4412,2026-03-14,72000,6480,6480,0,12960
